Street_One,Street_Two,lat_long,lattitudes,longitudes
MISSION ST,LAURA ST,"(37.709688, -122.4501243)",37.709688, -122.4501243
MISSION ST,AMAZON AVE,"(37.7172741, -122.4404528)",37.7172741, -122.4404528
MISSION ST,PERSIA AVE,"(37.7231529, -122.4360018)",37.7231529, -122.4360018
MISSION ST,TINGLEY ST,"(37.7282519, -122.431806)",37.7282519, -122.431806
MISSION ST,TRUMBULL ST,"(37.7307966, -122.4293345)",37.7307966, -122.4293345
MISSION ST,COLLEGE AVE,"(37.7352463, -122.4248608)",37.7352463, -122.4248608
MISSION ST,29TH ST,"(37.744038, -122.4209151)",37.744038, -122.4209151
MISSION ST,14TH ST,"(37.7682842, -122.4200074)",37.7682842, -122.4200074
MISSION ST,GRACE ST,"(37.7756099, -122.4155178)",37.7756099, -122.4155178
MISSION ST,02ND ST,"(37.7880171, -122.399817)",37.7880171, -122.399817
